KDF,9,6,3,1,2
Ivern,Vi,Tristana,Rell,Nautilus
GEN,21,9,4,2,0
Sejuani,Neeko,LeBlanc,Rumble,Jax
DuDu
Renekton,Teleport,Flash,3364,3026,3071,6630,3082,3047,3156
2/6/3,0.8,368,7.5,17439k,21612
YoungJae
Poppy,Flash,Smite,3364,3001,3068,1057,2055,3158,8020
0/6/6,1.0,225,4.6,13495k,5608
Bulldog
Azir,Teleport,Flash,3363,3157,3111,3135,3089,4644,3115
3/2/2,2.5,474,9.6,19726k,46001
Taeyoon
Aphelios,Flash,Boost,3363,6671,3036,3072,3156,6672,3006
4/1/2,6.0,484,9.8,21111k,28142
Andil
Rakan,Exhaust,Flash,3364,3860,3107,6667,3111,2055
0/6/5,0.8,37,0.8,9906k,3799
Doran
KSante,Teleport,Flash,3364,6662,3143,3026,8020,3075,3047
1/1/14,15.0,384,7.8,18935k,16537
Peanut
KhaZix,Flash,Smite,3364,6695,3179,6694,3111,6692,3814
4/4/7,2.8,394,8,20384k,24849
Chovy
Annie,Teleport,Flash,3364,3152,3165,3116,3135,3158,3041
1/2/8,4.5,368,7.5,17315k,35071
Peyz
Kaisa,Boost,Flash,3363,3157,3135,3087,3115,3089,3124
14/1/4,18.0,501,10.2,24769k,73486
Delight
Blitzcrank,Dot,Flash,3364,6656,3222,3857,4638,3117,3067
1/1/15,16.0,40,0.8,11685k,10423
|
GEN,12,8,1,1,1
Sejuani,Poppy,LeBlanc,Azir,Annie
KDF,11,3,3,0,1
Ivern,Vi,Neeko,Braum,Renekton
DuDu
Gangplank,Teleport,Flash,3364,6675,6676,2055,3508,3158,1033
2/6/3,0.8,368,7.5,17439k,21612
YoungJae
Maokai,Flash,Smite,3364,3158,6667,4637,3067,3211
0/6/6,1.0,225,4.6,13495k,5608
Bulldog
Tristana,Teleport,Flash,3363,3087,2421,2055,6675,3156,3111
3/2/2,2.5,474,9.6,19726k,46001
Taeyoon
Aphelios,Boost,Flash,3363,6671,1018,3006,3155,3036,6672
4/1/2,6.0,484,9.8,21111k,28142
Andil
Rell,Dot,Flash,3364,3001,3111,3860,2055,1057,3067
0/6/5,0.8,37,0.8,9906k,3799
Doran
Jax,Teleport,Flash,3340,3157,6632,3047,3082,3071,3024
1/1/14,15.0,384,7.8,18935k,16537
Peanut
Viego,Flash,Smite,3364,3071,6632,3047,2055,1029,2421
4/4/7,2.8,394,8,20384k,24849
Chovy
Cassiopeia,Teleport,Flash,3363,2421,2055,1052,6653,3116,3040
1/2/8,4.5,368,7.5,17315k,35071
Peyz
Kaisa,Flash,Boost,3363,1026,4630,3124,3115,3087,2422
14/1/4,18.0,501,10.2,24769k,73486
Delight
Alistar,Dot,Flash,3364,3860,2421,2055,3001,1028,3047
1/1/15,16.0,40,0.8,11685k,10423
|
