GEN,VICTORY,17,11,5,1,0
Sejuani,Renekton,Milio,Braum,Jax
BRO,DEFEAT,11,7,2,2,2
Neeko,Vi,Leblanc,Rell,Rakan
Doran
KSante,Teleport,Flash,3364,3076,3193,3143,3047,4401,6662
1/1/8,9.0,375,8.3,18153,16396
Peanut
Ivern,Flash,Smite,3364,3107,6617,3158,6616,3011
4/3/9,4.3,189,4.2,14247,9151
Chovy
Tristana,Teleport,Flash,3363,3087,3026,6675,3072,3111,3036
3/3/7,3.3,420,9.3,20366,33917
Peyz
Kaisa,Boost,Flash,3363,3157,3102,3087,3115,3089,3124
8/2/1,4.5,463,10.2,20985,47686
Delight
Gragas,Dot,Flash,3364,8001,2421,3860,3158,3001
1/2/8,4.5,53,1.2,11149,11219
Morgan
Gwen,Teleport,Flash,3364,3157,4630,3089,4633,3115,3047
1/7/2,0.4,405,9,19078,19507
UmTi
Poppy,Smite,Flash,3364,2055,1028,3001,3068,8020,3111
0/3/9,3.0,198,4.4,12973,9974
Karis
Azir,Flash,Teleport,3364,4644,1058,3135,3020,3115,3089
3/1/6,9.0,388,8.6,17322,25437
Hena
Aphelios,Haste,Flash,3363,3006,6672,6671,3036,3072,3026
6/2/2,4.0,434,9.6,20850,22419
Effort
Alistar,Flash,Exhaust,3364,3860,2421,2055,3075,3001,3158
1/4/9,2.5,36,0.8,10252,4519
|
BRO,DEFEAT,10,2,3,0,1
Vi,Leblanc,Tristana,Aphelios,Draven
GEN,VICTORY,14,9,2,1,1
Sejuani,Milio,Neeko,Varus,Rakan
Doran
Renekton,Teleport,Flash,3364,6630,2055,3143,3742,3047
1/1/8,9.0,375,8.3,18153,16396
Peanut
Poppy,Smite,Flash,3364,1033,3068,3001,3111
4/3/9,4.3,189,4.2,14247,9151
Chovy
Ahri,Flash,Teleport,3364,3089,6656,2421,3111,3191,3108
3/3/7,3.3,420,9.3,20366,33917
Peyz
Kalista,Boost,Flash,3363,3124,3091,3006,6673,1043
8/2/1,4.5,463,10.2,20985,47686
Delight
Alistar,Flash,Dot,3364,3860,3001,2055,3076,3111
1/2/8,4.5,53,1.2,11149,11219
Morgan
Quinn,Boost,Flash,3364,3006,6671,3036,3087,1018,6670
1/7/2,0.4,405,9,19078,19507
UmTi
Ivern,Flash,Smite,3364,3222,6616,3158,6617
0/3/9,3.0,198,4.4,12973,9974
Karis
Azir,Teleport,Flash,3363,6655,3115,2055,1028,3020,3135
3/1/6,9.0,388,8.6,17322,25437
Hena
Ashe,Boost,Flash,3363,1018,3006,3035,3046,6672,3031
6/2/2,4.0,434,9.6,20850,22419
Effort
Braum,Exhaust,Flash,3364,3190,3047,3857,3076,1011
1/4/9,2.5,36,0.8,10252,4519
