KT,VICTORY,18,10,3,1,1
Poppy,Leblanc,Tristana,Alistar,Jax
DRX,DEFEAT,9,1,1,0,1
Neeko,Sejuani,Annie,Rumble,Veigar
Kiin
KSante,Teleport,Flash,3364,3105,3075,6662,3047
1/1/14,15.0,230,8.6,10887,11321
Cuzz
Viego,Smite,Flash,3364,3071,2421,3047,6632,1038
6/0/8,14.0,212,7.9,12258,12676
Bdd
Azir,Flash,Teleport,3363,4644,1058,2421,3115,3108,3020
4/0/6,10.0,285,10.6,12404,17286
Aiming
Kaisa,Boost,Flash,3363,3124,2421,3006,3115,1083,3087
7/2/8,7.5,287,10.7,13896,22584
Lehends
Rakan,Dot,Flash,3364,3111,2065,3860
0/6/15,2.5,43,1.6,7098,2235
Rascal
Renekton,Flash,Teleport,3364,6630,2421,3071,3111,1031
2/5/2,0.8,245,9.1,10512,11289
Croco
Vi,Smite,Flash,3364,2055,2421,3133,3067,3071,3111
1/3/2,1.0,142,5.3,7959,3361
FATE
Ahri,Teleport,Flash,3364,3102,6656,1058,3158,1058,1082
5/1/1,6.0,270,10.1,10818,10372
Paduck
Xayah,Flash,Boost,3363,6675,1036,6672,3006,1018,1036
1/4/6,1.8,234,8.7,9700,12362
BeryL
Maokai,Dot,Flash,3364,3857,6667,2055,3047,1028
0/5/6,1.2,40,1.5,5738,6868
|
DRX,VICTORY,21,8,2,3,0
Neeko,Sejuani,Vi,Azir,KSante
KT,DEFEAT,22,6,3,0,2
Leblanc,Tristana,Poppy,Xayah,Heimerdinger
Kiin
Renekton,Flash,Teleport,3364,6630,3026,3071,3111,8020
1/1/14,15.0,230,8.6,10887,11321
Cuzz
Khazix,Smite,Flash,3364,2420,6694,3814,6691,3179,3111
6/0/8,14.0,212,7.9,12258,12676
Bdd
Annie,Teleport,Flash,3364,3157,3152,3158,3145,3116
4/0/6,10.0,285,10.6,12404,17286
Aiming
Draven,Flash,Boost,3363,6676,2420,3078,3111,3156,3072
7/2/8,7.5,287,10.7,13896,22584
Lehends
Maokai,Dot,Flash,3364,3857,8001,2055,6667,3111,1028
0/6/15,2.5,43,1.6,7098,2235
Rascal
Rumble,Teleport,Flash,3364,3089,3157,4637,4636,3020
2/5/2,0.8,245,9.1,10512,11289
Croco
Viego,Smite,Flash,3364,3047,2055,3026,3071,6632
1/3/2,1.0,142,5.3,7959,3361
FATE
TwistedFate,Flash,Teleport,3364,3094,3191,6656,3100,3108,3111
5/1/1,6.0,270,10.1,10818,10372
Paduck
Kaisa,Boost,Flash,3363,3006,3157,3089,3087,3115,3124
1/4/6,1.8,234,8.7,9700,12362
BeryL
Nautilus,Dot,Flash,3364,3001,3067,3860,2055,3111,1011
0/5/6,1.2,40,1.5,5738,6868
|
KT,VICTORY,15,7,2,1,0
Vi,Leblanc,Tristana,Rakan,Ahri
DRX,DEFEAT,9,6,3,1,2
Neeko,Sejuani,Annie,Alistar,RenataGlasc
Kiin
Quinn,Boost,Flash,3364,6671,2420,3036,3087,3006
1/1/14,15.0,230,8.6,10887,11321
Cuzz
Viego,Smite,Flash,3364,3111,3071,6632
6/0/8,14.0,212,7.9,12258,12676
Bdd
Azir,Flash,Teleport,3363,6655,2421,4630,1043,4645,3158
4/0/6,10.0,285,10.6,12404,17286
Aiming
Kaisa,Boost,Flash,3363,1058,2421,3124,3115,3006,3087
7/2/8,7.5,287,10.7,13896,22584
Lehends
Nautilus,Dot,Flash,3364,3111,2421,3860,3001
0/6/15,2.5,43,1.6,7098,2235
Rascal
Renekton,Flash,Teleport,3364,6631,3143,2421,8020,3047,2055
2/5/2,0.8,245,9.1,10512,11289
Croco
Poppy,Smite,Flash,3364,2055,3067,1057,3001,3068,3111
1/3/2,1.0,142,5.3,7959,3361
FATE
Taliyah,Teleport,Flash,3363,1058,2055,6655,3020,3040,1058
5/1/1,6.0,270,10.1,10818,10372
Paduck
Xayah,Flash,Heal,3363,6672,1018,1053,3006,6675,3156
1/4/6,1.8,234,8.7,9700,12362
BeryL
Maokai,Dot,Flash,3364,3857,3158,2055,6667,1057,3067
0/5/6,1.2,40,1.5,5738,6868
