KDF,VICTORY,19,9,5,1,1
Lucian,Zeri,Vi,MonkeyKing,Viego
DRX,DEFEAT,16,5,1,2,1
Neeko,Milio,Maokai,Annie,AurelionSol
DuDu
KSante,Teleport,Flash,3364,3193,3075,3047,6662,3068,8001
9/1/7,16.0,372,8.7,19673,36373
YoungJae
Volibear,Flash,Smite,3364,3742,3047,6662,8020,3067
5/2/11,8.0,217,5.1,15146,21719
Bulldog
Taliyah,Teleport,Flash,3363,3157,3916,3089,6655,3040,3158
1/4/11,3.0,405,9.5,17370,30583
Taeyoon
Xayah,Flash,Boost,3363,6671,2420,3036,3094,6672,3006
4/5/8,2.4,376,8.8,17253,29099
Jun
Rakan,Dot,Flash,3364,4638,2065,3860,3109,3067,3111
0/4/14,3.5,59,1.4,10221,5371
Rascal
Sion,Flash,Teleport,3364,3193,6667,3047,3075,1057,3068
1/5/11,2.4,315,7.4,14602,23930
Croco
Khazix,Smite,Flash,3364,3142,3035,3026,3071,3814,3158
5/3/8,4.3,252,5.9,15974,18932
Kyeahoo
Ahri,Teleport,Flash,3364,4628,4645,6656,1058,3158,1058
2/3/8,3.3,339,7.9,14866,26179
Paduck
Aphelios,Flash,Haste,3363,6671,3026,3095,3036,3006,3072
8/6/6,2.3,352,8.2,19036,44913
BeryL
Yuumi,Exhaust,Heal,3364,3853,3222,2055,4005,6620
0/2/16,8.0,2,0,9199,20268
|
DRX,DEFEAT,5,0,1,0,1
Maokai,KSante,Annie,AurelionSol,Gragas
KDF,VICTORY,13,11,3,1,1
Milio,Lucian,Neeko,MonkeyKing,Poppy
DuDu
Sion,Flash,Teleport,3364,6665,3068,3111,1029
9/1/7,16.0,372,8.7,19673,36373
YoungJae
Viego,Smite,Flash,3364,3066,3742,6632,3111
5/2/11,8.0,217,5.1,15146,21719
Bulldog
Ahri,Teleport,Flash,3364,4645,1082,6656,2055,3158,1052
1/4/11,3.0,405,9.5,17370,30583
Taeyoon
Aphelios,Flash,Haste,3363,6671,3035,1018,3095,3006
4/5/8,2.4,376,8.8,17253,29099
Jun
Yuumi,Exhaust,Heal,3364,3853,6620,2055,4642,1052
0/4/14,3.5,59,1.4,10221,5371
Rascal
Gwen,Teleport,Flash,3364,3157,1056,4633,1058,3115,3158
1/5/11,2.4,315,7.4,14602,23930
Croco
Vi,Flash,Smite,3364,6667,3071,2420,3047
5/3/8,4.3,252,5.9,15974,18932
Kyeahoo
Taliyah,Teleport,Flash,3363,2420,3916,3108,6653,3040,3158
2/3/8,3.3,339,7.9,14866,26179
Paduck
Zeri,Flash,Boost,3363,1018,1053,3748,3085,3078,3006
8/6/6,2.3,352,8.2,19036,44913
BeryL
Rakan,Dot,Flash,3364,2065,3860,3801,3023,3158
0/2/16,8.0,2,0,9199,20268
