DRX,2,0,0,0,0
Maokai,Vi,Blitzcrank,Gwen,Wukong
DK,13,7,3,0,2
Neeko,Lucian,Yuumi,Annie,Sejuani
Rascal
Chogath,Flash,Teleport,3364,1033,3068,3067,3047,1029
1/3/1,0.7,164,7.5,6954k,8877
Croco
Viego,Smite,Flash,3364,1036,1028,6632,3111
0/3/1,0.3,111,5.1,5831k,5117
Kyeahoo
KSante,Teleport,Flash,3364,1029,6665,3111,2055,1033,1054
0/3/1,0.3,160,7.4,6210k,5197
Paduck
Aphelios,Flash,Haste,3363,3095,2055,3006,1036,3086,1055
1/2/1,1.0,185,8.5,7378k,13202
BeryL
Milio,Heal,Flash,3364,3860,2065,2055,3158
0/2/1,0.5,29,1.3,4299k,1349
Canna
Gnar,Teleport,Flash,3363,3078,3047,3053,2055
0/0/10,10.0,187,8.6,9182k,14156
Canyon
Sion,Smite,Flash,3364,2055,3075,6667,3047
0/1/8,8.0,148,6.8,7963k,4642
ShowMaker
Ahri,Teleport,Flash,3364,3108,3157,3158,1082,6653
4/0/5,9.0,219,10.1,10518k,16100
Deft
Draven,Flash,Heal,3363,1038,3006,3134,3036,3508
7/0/5,12.0,193,8.9,12074k,14884
Kellin
Pyke,Dot,Flash,3364,3857,3179,3158,1036,1036
2/1/4,6.0,28,1.3,6162k,3889
|
DRX,13,7,1,1,2
Maokai,Vi,Milio,Aphelios,Gragas
DK,13,1,4,0,0
Neeko,Lucian,Ahri,Syndra,Sejuani
Rascal
Jax,Flash,Teleport,3340,3157,2055,3071,6632,3067,3111
1/3/1,0.7,164,7.5,6954k,8877
Croco
Nautilus,Smite,Flash,3364,2055,1029,8020,3001,3068,3111
0/3/1,0.3,111,5.1,5831k,5117
Kyeahoo
KSante,Teleport,Flash,3364,3075,3193,6665,2055,3111
0/3/1,0.3,160,7.4,6210k,5197
Paduck
Zeri,Flash,Boost,3363,3078,3035,3085,3072,3006,1018
1/2/1,1.0,185,8.5,7378k,13202
BeryL
Rakan,Dot,Flash,3364,3860,2065,2055,3113,3111,3114
0/2/1,0.5,29,1.3,4299k,1349
Canna
Sion,Teleport,Flash,3364,3068,6665,3076,3082,3047
0/0/10,10.0,187,8.6,9182k,14156
Canyon
MonkeyKing,Smite,Flash,3364,1038,2421,3155,6632,3071,3047
0/1/8,8.0,148,6.8,7963k,4642
ShowMaker
Annie,Teleport,Flash,3364,3116,2055,3135,3158,6653,3916
4/0/5,9.0,219,10.1,10518k,16100
Deft
Ezreal,Flash,Boost,3363,3508,1053,3158,3042,6694
7/0/5,12.0,193,8.9,12074k,14884
Kellin
Yuumi,Exhaust,Heal,3364,3853,6620,2055,4005,3114
2/1/4,6.0,28,1.3,6162k,3889
|
DK,20,8,3,1,1
Ahri,KSante,Lucian,Rakan,Rell
DRX,11,5,3,2,1
Neeko,Milio,Yuumi,Vi,Wukong
Rascal
Ornn,Teleport,Flash,3364,3068,2420,3075,7026,3047
1/3/1,0.7,164,7.5,6954k,8877
Croco
Viego,Smite,Flash,3364,2055,2421,items/7017,3071,1038,3111
0/3/1,0.3,111,5.1,5831k,5117
Kyeahoo
Annie,Teleport,Flash,3363,3916,items/7011,1058,3158,4630,4645
0/3/1,0.3,160,7.4,6210k,5197
Paduck
Zeri,Flash,Boost,3363,3047,3748,3053,items/7018,3085,3072
1/2/1,1.0,185,8.5,7378k,13202
BeryL
Lulu,Heal,Flash,3364,3860,items/7020,3222,3158,3114
0/2/1,0.5,29,1.3,4299k,1349
Canna
Jax,Flash,Teleport,3340,3157,3044,3111,6609,6632,3161
0/0/10,10.0,187,8.6,9182k,14156
Canyon
Maokai,Smite,Flash,3364,2055,1028,8020,3068,6667,3111
0/1/8,8.0,148,6.8,7963k,4642
ShowMaker
Jayce,Teleport,Flash,3363,3142,3042,6694,3111,6695
4/0/5,9.0,219,10.1,10518k,16100
Deft
Varus,Flash,Barrier,3363,3142,2420,3009,3042,6694,6695
7/0/5,12.0,193,8.9,12074k,14884
Kellin
Ashe,Heal,Flash,3364,3864,3179,3123,3158,4005
2/1/4,6.0,28,1.3,6162k,3889
|
