KT,24,10,4,2,0
Varus,Lucian,Jayce,Kassadin,Renekton
GEN,10,2,2,0,2
Sejuani,Caitlyn,Ashe,Lulu,Jax
Kiin
Gangplank,Teleport,Flash,3364,6675,3026,3134,6676,3078,3158
7/3/7,4.7,341,9,18327k,34313
Cuzz
Vi,Smite,Flash,3364,3047,6667,4401,6609
2/2/11,6.5,202,5.3,12228k,9959
Bdd
Azir,Flash,Teleport,3363,6653,3157,4632,3089,4645,3158
9/0/4,13.0,349,9.2,18067k,29850
Aiming
Zeri,Haste,Flash,3363,6673,3139,3085,3006,6675,3072
6/2/6,6.0,425,11.2,20041k,20866
Lehends
Annie,Heal,Flash,3364,3158,2065,3853,3107
0/3/12,4.0,17,0.4,8961k,7099
Doran
Gnar,Teleport,Flash,3364,3078,3143,2055,4401,3047
1/7/2,0.4,262,6.9,11939k,13597
Peanut
MonkeyKing,Flash,Smite,3364,2055,6632,1031,3111,3155,3071
2/5/2,0.8,179,4.7,11706k,10420
Chovy
Taliyah,Teleport,Flash,3363,6655,3157,1058,3145,3040,3020
3/5/3,1.2,300,7.9,13863k,19842
Peyz
Ezreal,Boost,Flash,3363,3158,3508,6694,3074,3042,6691
2/2/3,2.5,435,11.4,16893k,25914
Delight
Karma,Dot,Flash,3364,2065,3011,3853,2055,3158,1057
2/5/4,1.2,23,0.6,8998k,6650
|
GEN,18,8,2,1,1
Sejuani,Jayce,Karma,Azir,Jax
KT,7,4,2,0,1
Ashe,Annie,Elise,Gragas,Renekton
Kiin
KSante,Teleport,Haste,3364,3111,6662,3075,3105,1029
7/3/7,4.7,341,9,18327k,34313
Cuzz
Vi,Flash,Smite,3364,2421,6632,3111,1031,3066
2/2/11,6.5,202,5.3,12228k,9959
Bdd
Taliyah,Teleport,Flash,3363,6655,2424,3916,3111,3040,3041
9/0/4,13.0,349,9.2,18067k,29850
Aiming
Caitlyn,Boost,Flash,3363,6671,3006,3072,3031
6/2/6,6.0,425,11.2,20041k,20866
Lehends
Lux,Dot,Flash,3364,6656,3158,3853,1057,1004
0/3/12,4.0,17,0.4,8961k,7099
Doran
Camille,Teleport,Flash,3364,3133,3067,2055,3074,6632,3158
1/7/2,0.4,262,6.9,11939k,13597
Peanut
LeeSin,Smite,Flash,3340,6630,2055,3111,3067,3133,1036
2/5/2,0.8,179,4.7,11706k,10420
Chovy
LeBlanc,Flash,Teleport,3364,6653,3102,3135,3020
3/5/3,1.2,300,7.9,13863k,19842
Peyz
Varus,Boost,Flash,3363,3158,3142,3123,3035,3042
2/2/3,2.5,435,11.4,16893k,25914
Delight
Leona,Dot,Flash,3364,6667,3111,3857,2055,1028
2/5/4,1.2,23,0.6,8998k,6650
|
GEN,6,2,2,0,1
Sejuani,Jayce,Karma,Azir,Jax
KT,14,8,3,1,1
Ashe,Annie,Elise,Gragas,Gnar
Kiin
KSante,Teleport,Haste,3364,3111,3193,3075,6662
7/3/7,4.7,341,9,18327k,34313
Cuzz
MonkeyKing,Flash,Smite,3364,3133,6632,3111,1028,3071
2/2/11,6.5,202,5.3,12228k,9959
Bdd
Akali,Teleport,Flash,3364,3152,3157,2055,3089,4630,3111
9/0/4,13.0,349,9.2,18067k,29850
Aiming
Caitlyn,Boost,Flash,3363,3006,3094,3036,3031,6672
6/2/6,6.0,425,11.2,20041k,20866
Lehends
Heimerdinger,Dot,Flash,3364,3116,3165,3853,2055,3158
0/3/12,4.0,17,0.4,8961k,7099
Doran
Renekton,Teleport,Flash,3364,1057,6630,3143,2055,3071,3111
1/7/2,0.4,262,6.9,11939k,13597
Peanut
Vi,Smite,Flash,3364,3071,3742,2421,6632,3047
2/5/2,0.8,179,4.7,11706k,10420
Chovy
TwistedFate,Flash,Teleport,3364,6657,3089,3094,3100,3111
3/5/3,1.2,300,7.9,13863k,19842
Peyz
Varus,Heal,Flash,3363,3042,3142,6694,6692,3009
2/2/3,2.5,435,11.4,16893k,25914
Delight
Leona,Dot,Flash,3364,3047,3857,2055,6667
2/5/4,1.2,23,0.6,8998k,6650
|
