LSB,12,10,2,1,2
Renekton,Zeri,Rakan,Gwen,LeBlanc
BRO,5,1,2,0,0
Wukong,Annie,Jayce,Elise,Viego
Burdol
KSante,Teleport,Haste,3364,3105,1033,3068,6662,3047
4/1/0,4.0,231,7.8,11190k,10955
Willer
Sejuani,Flash,Smite,3364,3111,6660,3083,6667
1/0/9,10.0,186,6.3,10950k,8977
Clozer
Sylas,Teleport,Flash,3364,3157,1058,3111,6657,3135
5/2/5,5.0,275,9.3,14141k,17855
Envyy
Varus,Flash,Heal,3363,6692,3142,2055,3042,1036,3158
0/1/5,5.0,277,9.4,11786k,18924
Kael
Ashe,Dot,Flash,3364,3133,3864,3123,3158,3179
2/1/5,7.0,38,1.3,8479k,10245
Morgan
Gnar,Teleport,Flash,3364,3071,2055,3066,1057,3078,3111
1/2/1,1.0,273,9.2,10764k,18698
UmTi
LeeSin,Smite,Flash,3340,2055,6630,3044,1028,3111,1037
1/6/2,0.5,164,5.5,8350k,5452
Karis
Veigar,Flash,Teleport,3364,6657,2424,3040,3111,3135
3/2/1,2.0,279,9.4,11756k,14809
Hena
Lucian,Boost,Flash,3363,3094,3134,6671,2422,3035,1018
0/2/2,1.0,244,8.3,9931k,14338
Effort
Nami,Flash,Heal,3364,3853,4005,1004,1057,1001
0/0/3,3.0,6,0.2,5584k,3060
|
BRO,13,5,0,1,1
Varus,Ashe,Wukong,LeBlanc,Jayce
LSB,22,7,4,0,1
Renekton,Annie,Jinx,Sejuani,Vi
Burdol
KSante,Teleport,Flash,3364,1057,2055,3193,6662,3068,3047
4/1/0,4.0,231,7.8,11190k,10955
Willer
Poppy,Smite,Flash,3364,8001,1028,3111,3742,3001
1/0/9,10.0,186,6.3,10950k,8977
Clozer
Veigar,Flash,Teleport,3364,6657,3040,3135,3158,3089
5/2/5,5.0,275,9.3,14141k,17855
Envyy
Lucian,Boost,Flash,3363,3031,2421,6671,3036,3094,6695
0/1/5,5.0,277,9.4,11786k,18924
Kael
Nami,Flash,Heal,3364,3853,3011,3114,2055,4005,3158
2/1/5,7.0,38,1.3,8479k,10245
Morgan
Jax,Teleport,Flash,3340,2055,3157,3161,6632,3047
1/2/1,1.0,273,9.2,10764k,18698
UmTi
LeeSin,Flash,Smite,3340,2420,3071,3111,1031,6630,2055
1/6/2,0.5,164,5.5,8350k,5452
Karis
Taliyah,Teleport,Flash,3364,6657,2423,1052,3040,3089,3111
3/2/1,2.0,279,9.4,11756k,14809
Hena
Aphelios,Flash,Boost,3363,2421,6671,3036,3072,2422,3031
0/2/2,1.0,244,8.3,9931k,14338
Effort
Nautilus,Dot,Flash,3364,3111,3860,2421,3001,3076
0/0/3,3.0,6,0.2,5584k,3060
|
