DRX,4,5,2,0,1
Renekton,Yuumi,Varus,Kassadin,Syndra
BRO,10,10,2,1,1
Caitlyn,Ashe,KSante,Azir,Ryze
Rascal
Jax,Flash,Teleport,3340,3091,6632,3111,3071,6609
3/2/0,1.5,323,10,14161k,10310
Croco
Elise,Smite,Flash,3364,3152,2055,4645,3020
0/2/4,2.0,151,4.7,9302k,6930
FATE
Jayce,Teleport,Flash,3364,2055,6692,3042,3111,6694
0/1/2,2.0,295,9.2,12004k,19807
deokdam
Lucian,Flash,Dot,3363,6671,6675,3035,1018,2422,3094
1/2/0,0.5,325,10.1,12990k,21297
BeryL
Nami,Heal,Flash,3364,3853,4005,2055,3158,3114
0/3/1,0.3,19,0.6,6274k,2709
Morgan
Fiora,Teleport,Haste,3364,1036,3110,3074,6632,3158
1/2/1,1.0,271,8.4,12566k,10174
UmTi
Maokai,Smite,Flash,3364,3067,6667,3158,4637
1/2/6,3.5,173,5.4,10520k,17075
Karis
Sylas,Flash,Teleport,3364,6657,3157,3135,3020,2055,1058
1/0/4,5.0,276,8.6,12143k,8831
Hena
Zeri,Barrier,Flash,3363,3085,6673,3072,3006,3031
7/0/2,9.0,373,11.6,17089k,16134
Effort
Lulu,Flash,Heal,3364,3860,2065,3222,3158
0/0/9,9.0,27,0.8,8105k,2362
|
BRO,7,3,0,0,1
Caitlyn,Ashe,KSante,Kassadin,Ryze
DRX,13,10,4,1,1
Yuumi,Lucian,Sejuani,Azir,Renekton
Rascal
Fiora,Teleport,Haste,3364,6632,2055,1031,3074,3133,3047
3/2/0,1.5,323,10,14161k,10310
Croco
Maokai,Smite,Flash,3364,2055,3067,3111,1011,6667,3916
0/2/4,2.0,151,4.7,9302k,6930
FATE
Akali,Flash,Teleport,3364,3152,2031,3145,3020,2055,1058
0/1/2,2.0,295,9.2,12004k,19807
deokdam
Jhin,Boost,Flash,3363,3009,6692,3142,3070,1036,1036
1/2/0,0.5,325,10.1,12990k,21297
BeryL
Karma,Flash,Heal,3364,3860,3222,4642,3067,1001
0/3/1,0.3,19,0.6,6274k,2709
Morgan
Jayce,Flash,Teleport,3363,3042,6692,6694,2055,3158
1/2/1,1.0,271,8.4,12566k,10174
UmTi
Elise,Smite,Flash,3364,3152,2031,2055,3211,3803,3020
1/2/6,3.5,173,5.4,10520k,17075
Karis
Sylas,Teleport,Flash,3364,3157,6657,3158,1058
1/0/4,5.0,276,8.6,12143k,8831
Hena
Varus,Flash,Heal,3363,3142,2055,3133,6692,3070,3009
7/0/2,9.0,373,11.6,17089k,16134
Effort
Heimerdinger,Dot,Flash,3364,3853,3158,2055,3116,3165
0/0/9,9.0,27,0.8,8105k,2362
|
DRX,3,2,1,0,1
Yuumi,Lucian,Maokai,Renekton,Lulu
BRO,16,11,2,1,1
Caitlyn,Ashe,Heimerdinger,Fiora,Jax
Rascal
Jayce,Flash,Teleport,3363,6694,3158,6692,3042,2420
3/2/0,1.5,323,10,14161k,10310
Croco
Sejuani,Smite,Flash,3364,2055,1011,3067,6667,3111
0/2/4,2.0,151,4.7,9302k,6930
FATE
Ryze,Teleport,Flash,3363,2055,6657,3040,3111,3108,1033
0/1/2,2.0,295,9.2,12004k,19807
deokdam
Varus,Flash,Heal,3363,3142,6692,3009,1055,3042
1/2/0,0.5,325,10.1,12990k,21297
BeryL
Twitch,Dot,Flash,3364,3864,3115,2055,3158
0/3/1,0.3,19,0.6,6274k,2709
Morgan
KSante,Teleport,Haste,3364,1054,2055,3193,6662,1028,3047
1/2/1,1.0,271,8.4,12566k,10174
UmTi
Elise,Smite,Flash,3364,3152,2421,2055,4645,3020
1/2/6,3.5,173,5.4,10520k,17075
Karis
Kassadin,Flash,Teleport,3364,6657,3157,3040,3111,3135
1/0/4,5.0,276,8.6,12143k,8831
Hena
Zeri,Boost,Flash,3363,6673,3085,3006,3031,2055
7/0/2,9.0,373,11.6,17089k,16134
Effort
Nautilus,Flash,Dot,3364,3860,2031,6667,3111
0/0/9,9.0,27,0.8,8105k,2362
|
