T1,17,8,4,1,2
Ivern,Tristana,Milio,Azir,Alistar
DK,8,2,0,0,0
Vi,Neeko,LeBlanc,Xayah,Aphelios
Zeus
Renekton,Teleport,Flash,3364,3026,6630,1033,2055,6609,3047
3/2/8,5.5,238,8.6,11973k,13520
Oner
Viego,Smite,Flash,3364,2421,3078,1031,3071,3047
2/0/8,10.0,195,7.1,11196k,11149
Faker
Annie,Teleport,Flash,3364,3152,3116,1058,3158,1056,1082
4/2/8,6.0,204,7.4,11000k,15675
Gumayusi
Samira,Boost,Flash,3364,1038,6676,6673,6691,3047
8/2/3,5.5,276,10,14384k,12675
Keria
Rell,Dot,Flash,3364,3111,3860,3001,3076,1028
0/2/12,6.0,48,1.7,7225k,3815
Canna
Jax,Teleport,Flash,3340,6632,2055,2421,3047,3071
2/5/0,0.4,230,8.3,9490k,11807
Canyon
Sejuani,Smite,Flash,3364,2055,1029,3109,6667,6660,3047
2/1/4,6.0,159,5.8,9141k,5835
ShowMaker
Jayce,Teleport,Flash,3363,1036,1036,3133,3111,6691,3042
2/3/1,1.0,237,8.6,10172k,13193
Deft
Kaisa,Flash,Boost,3363,1055,3802,3115,3087,1082,1001
1/3/4,1.7,273,9.9,10697k,15228
Kellin
Rakan,Dot,Flash,3364,3860,2065,3111,1028
1/5/2,0.6,38,1.4,6059k,2865
|
DK,12,2,1,1,1
Milio,Annie,Poppy,Xayah,Aphelios
T1,24,9,4,1,1
Ivern,Tristana,Ashe,Gnar,Kennen
Zeus
Renekton,Teleport,Flash,3364,3071,6630,2055,3156,3111
3/2/8,5.5,238,8.6,11973k,13520
Oner
Vi,Smite,Flash,3364,1038,2420,1031,6667,3071,3111
2/0/8,10.0,195,7.1,11196k,11149
Faker
Neeko,Teleport,Flash,3364,2033,3152,2055,3158,3145,4628
4/2/8,6.0,204,7.4,11000k,15675
Gumayusi
Kaisa,Flash,Boost,3363,3115,1052,6655,3087,3006
8/2/3,5.5,276,10,14384k,12675
Keria
Rell,Dot,Flash,3364,3860,3001,2055,3158,3067,1057
0/2/12,6.0,48,1.7,7225k,3815
Canna
KSante,Teleport,Flash,3364,3193,3075,6665,3047
2/5/0,0.4,230,8.3,9490k,11807
Canyon
Viego,Smite,Flash,3364,3047,3078,3071,3026,3044
2/1/4,6.0,159,5.8,9141k,5835
ShowMaker
LeBlanc,Teleport,Flash,3364,3100,3087,1058,1082,3158,4636
2/3/1,1.0,237,8.6,10172k,13193
Deft
Varus,Boost,Flash,3363,4633,2421,3191,3020,3115,3087
1/3/4,1.7,273,9.9,10697k,15228
Kellin
Alistar,Dot,Flash,3364,3001,3860,8020,3158
1/5/2,0.6,38,1.4,6059k,2865
|
