DRX,15,7,1,1,2
Vi,Poppy,Annie,Varus,Ashe
LSB,24,9,4,1,0
Renekton,Neeko,Milio,LeBlanc,Kaisa
Rascal
Akali,Teleport,Dot,3340,3152,3157,3135,3020,4645,4632
5/5/5,2.0,344,8.4,16976k,15408
Juhan
Sejuani,Smite,Flash,3364,6667,6660,3143,1011,3047
3/6/10,2.2,194,4.7,13105k,9066
FATE
Jayce,Teleport,Flash,3340,6694,6691,3042,3047,3814
4/4/7,2.8,315,7.7,15927k,34745
Paduck
Draven,Flash,Boost,3363,3047,3026,3031,6676,3508,3035
3/4/8,2.8,340,8.3,17951k,17534
BeryL
Rell,Dot,Flash,3364,3860,3001,3047,3075,1028
0/5/13,2.6,53,1.3,9501k,5269
Burdol
Jax,Teleport,Flash,3340,3082,3071,3157,3181,6632,3111
5/3/9,4.7,314,7.6,17957k,19384
Willer
Maokai,Flash,Smite,3364,6667,3158,4637,8020,1028
4/3/14,6.0,181,4.4,12588k,21590
Clozer
Tristana,Teleport,Flash,3363,3026,3085,3072,3006,6672,6675
6/3/6,4.0,406,9.9,18434k,17109
Teddy
Aphelios,Flash,Boost,3363,3006,6671,3026,6672,3072,3036
8/3/6,4.7,386,9.4,18830k,31900
Kael
Braum,Exhaust,Flash,3364,1029,2055,3857,3190,3109,3047
1/4/16,4.2,40,1,9826k,5707
|
DRX,11,8,4,1,2
Vi,Poppy,Annie,Aphelios,Rakan
LSB,2,3,0,0,0
Renekton,Neeko,Milio,Draven,Kaisa
Rascal
Jax,Flash,Teleport,3340,3157,3047,3071,6632,3044
5/5/5,2.0,344,8.4,16976k,15408
Juhan
Maokai,Smite,Flash,3364,2055,3158,6667,4637,1029,1029
3/6/10,2.2,194,4.7,13105k,9066
FATE
Jayce,Teleport,Flash,3364,6691,3042,1001,1055,6694
4/4/7,2.8,315,7.7,15927k,34745
Paduck
Ashe,Flash,Boost,3363,3031,2421,6672,3006,1018
3/4/8,2.8,340,8.3,17951k,17534
BeryL
Heimerdinger,Dot,Flash,3364,3853,3116,3158,1028,3916
0/5/13,2.6,53,1.3,9501k,5269
Burdol
KSante,Teleport,Flash,3364,1057,2055,3076,3068,6662,3111
5/3/9,4.7,314,7.6,17957k,19384
Willer
Sejuani,Flash,Smite,3364,2055,3068,3001,3111,1033,1028
4/3/14,6.0,181,4.4,12588k,21590
Clozer
Tristana,Teleport,Flash,3363,3006,3133,2055,3072,6672,1018
6/3/6,4.0,406,9.9,18434k,17109
Teddy
Varus,Flash,Boost,3363,3047,3802,2055,3067,3087,3115
8/3/6,4.7,386,9.4,18830k,31900
Kael
Jhin,Heal,Flash,3364,2031,2055,3864,3179,3158,3123
1/4/16,4.2,40,1,9826k,5707
|
LSB,20,6,2,2,1
Renekton,Maokai,Milio,Malphite,Braum
DRX,21,6,4,0,1
Jax,Neeko,Vi,Kaisa,Varus
Rascal
KSante,Teleport,Flash,3364,3075,2055,3143,6662,3068,3047
5/5/5,2.0,344,8.4,16976k,15408
Juhan
Sejuani,Flash,Smite,3364,3001,3068,3047,3075,2055,1028
3/6/10,2.2,194,4.7,13105k,9066
FATE
Irelia,Teleport,Flash,3363,6630,1038,3110,3047,6333,3153
4/4/7,2.8,315,7.7,15927k,34745
Paduck
Xayah,Flash,Boost,3363,3006,6672,6675,3072,3036,3026
3/4/8,2.8,340,8.3,17951k,17534
BeryL
Rakan,Dot,Flash,3364,2421,2055,3860,2065,8001,3111
0/5/13,2.6,53,1.3,9501k,5269
Burdol
Poppy,Flash,Teleport,3364,3143,3109,3068,6667,3075,3047
5/3/9,4.7,314,7.6,17957k,19384
Willer
Ivern,Smite,Flash,3364,6617,3158,3011,6616,1052
4/3/14,6.0,181,4.4,12588k,21590
Clozer
Tristana,Teleport,Flash,3363,3026,6672,3006,3036,6675
6/3/6,4.0,406,9.9,18434k,17109
Teddy
Aphelios,Flash,Boost,3363,6671,1018,3006,3036,3026,6672
8/3/6,4.7,386,9.4,18830k,31900
Kael
Rell,Dot,Flash,3364,3860,3001,3075,2055,3047
1/4/16,4.2,40,1,9826k,5707
|
