3.64,408,500.3,57.5%,94,70,24,74.5%,218,209,543
K'Sante,18,14,4,77.8%,2.22,2.22,6.72,4.03,8.01,398,406.1,59.4%
Jax,16,14,2,87.5%,3.25,1.88,5.19,4.5,8.41,427,468.8,50.6%
Gnar,14,10,4,71.4%,2,2.43,5,2.88,7.9,389,452.5,56.6%
Jayce,11,7,4,63.6%,2.73,3.09,5,2.5,8.68,419,679.6,60.7%
Renekton,11,7,4,63.6%,2.18,1.82,5.09,4,8.79,413,513.1,56.7%
